5° WINTER TRIATHLON & WINTER DUATHLON PREDAZZO | 10-01-2026Predazzo (Trento) | Trentino-Alto Adige/Südtirol | Winter Duathlon Kids		Giovanile
OVERCOME EVENTS: 3° DUATHLON KIDS E GIOVANI CASTELBOLOGNESE | 12-04-2026Castel Bolognese (Ravenna) | Emilia-Romagna | Duathlon Kids		Giovanile
OVERCOME EVENTS: 3° DUATHLON KIDS + GIOVANI CASTELBOILOGNESE | 12-04-2026Castel Bolognese (Ravenna) | Emilia-Romagna | Duathlon Miniduathlon		Giovanile
SANTA MARINELLA TRIATHLON SPRINT | 12-04-2026Santa Marinella (Roma) | Lazio | Triathlon Sprint		Silver
C.I. GIOVANI INDIVIDUALE E MIXED RELAY 2+2 | 18-04-2026Magione (Perugia) | Umbria | Duathlon Sprint		Silver
ADRIATIC SERIES TRIATHLON CESENATICO ITALIA | dal 18-04-2026 al 19-04-2026Cesenatico (Forlì) | Emilia-Romagna | Triathlon Atipico
ELBA WEEKEND TRI | dal 18-04-2026 al 19-04-2026Marciana (Livorno) | Toscana | Triathlon Olimpico		Silver
MILANOTRI - FOLLOWYOURPASSION | 18-04-2026Segrate (Milano) | Lombardia | Triathlon Sprint		Gold
MILANOTRI - FOLLOWYOURPASSION | 18-04-2026Segrate (Milano) | Lombardia | Triathlon Olimpico		Gold
32° TRIATHLON DI ANDORA | 19-04-2026Andora (Savona) | Liguria | Triathlon Olimpico		Silver
DE SORTIS ARGONAUTI TRI | 19-04-2026Pisticci (Matera) | Basilicata | Triathlon Sprint		Silver
9° LIGNANO “EYOF EUROPEAN TEST EVENT” TRIATHLON MEMORIAL ARDITO | 25-04-2026Lignano Sabbiadoro (Udine) | Friuli-Venezia Giulia | Triathlon Sprint		Silver
ADRIATIC SERIES TRIATHLON CUPRA MARITTIMA | 25-04-2026Cupra Marittima (Ascoli Piceno) | Marche | Triathlon Atipico
IRON ISLAND HALF TRIATHLON - TRIATHLON OLIMPICO NO DRAFT | 26-04-2026Ragusa (Ragusa) | Sicilia | Triathlon Olimpico		Silver
TRIATHLON SPRINT DEI PRINCIPI | 26-04-2026Fossano (Cuneo) | Piemonte | Triathlon Sprint		Silver
SABAUDIA TRIATHLON OLIMPICO XIII EDIZIONE "MEMORIAL RICCARDO GIORGI E SIMONE BESCO" | 26-04-2026Sabaudia (Latina) | Lazio | Triathlon Olimpico		Silver
CHIATRI - FOLLOWYOURPASSION | 01-05-2026Domus de Maria (Carbonia) | Sardegna | Triathlon Medio		Silver
CAMPIONATI ITALIANI TRIATHLON CROSS - CAPOLIVERI | 01-05-2026Capoliveri (Livorno) | Toscana | Triathlon Cross Triathlon
13°IRON TOUR CROSS - TRIATHLON OFF-ROAD A TAPPE-ISOLA D'ELBA | dal 02-05-2026 al 03-05-2026Capoliveri (Livorno) | Toscana | Triathlon Sprint MTB		Silver
GALLIPOLI OLYMPIC TRIWAVE CAROLI EDITION | 03-05-2026Gallipoli (Lecce) | Puglia | Triathlon Olimpico		Silver
TRIATHLON SPRINT ALTOTEVERE | 03-05-2026San Giustino (Perugia) | Umbria | Triathlon Sprint		Silver
VENICE JESOLO IRONMAN 70.3 | 03-05-2026Jesolo (Venezia) | Veneto | Triathlon Medio		Internazionale
EUROPE TRIATHLON JUNIOR CUP | dal 08-05-2026 al 09-05-2026Caorle (Venezia) | Veneto | Triathlon Staffetta
37.TRIATHLON DI CALDARO - OLIMPICO | 09-05-2026Caldaro sulla strada del vino/Kaltern an der Weinstraße (Bolzano) | Trentino-Alto Adige/Südtirol | Triathlon Olimpico		Silver
EUROPEAN TRIATHLON CUP CAORLE | 09-05-2026Caorle (Venezia) | Veneto | Triathlon Sprint
CHALLENGE CESENATICO 2026 | 10-05-2026Cesenatico (Forlì) | Emilia-Romagna | Aquabike Lungo
AQUATHLON DELLE ALPI | 10-05-2026Bolzano/Bozen (Bolzano) | Trentino-Alto Adige/Südtirol | Aquathlon Kids		Giovanile
MONDELLO CUP 10 | 10-05-2026Palermo (Palermo) | Sicilia | Triathlon Sprint		Silver
GARGANO TRIATHLON SPRINT | 10-05-2026Manfredonia (Foggia) | Puglia | Triathlon Sprint		Bronze
TRIATHLON MEDIO E OLIMPICO NO-DRAFT CITTÀ DI CANDIA | 10-05-2026Candia Canavese (Torino) | Piemonte | Triathlon Olimpico		Silver
7° TRIATHLON CITTÀ DI VAREDO | 10-05-2026Varedo (Monza) | Lombardia | Triathlon Minitriathlon		Giovanile
LATINA TRIATHLON SPRINT VII EDIZIONE "MEMORIAL FEDERICO SALVAGNI" | 10-05-2026Latina (Latina) | Lazio | Triathlon Sprint		Silver
VENICE CAORLE TRI 2026 | 10-05-2026Caorle (Venezia) | Veneto | Triathlon Sprint		Silver
IRON TOUR ROAD | dal 13-05-2026 al 17-05-2026Capoliveri (Livorno) | Toscana | Triathlon Sprint		Silver
CAMPIONATO ITALIANO UNIVERSITARIO CAMPIONATO ITALIANO PARATRIATHLON | dal 16-05-2026 al 17-05-2026Loano (Savona) | Liguria | Triathlon Sprint		Silver
TRIATHLON CITTA’ DI CAGLIARI - CAMPIONATO ITALIANO INTERFORZE TRIATHLON SPRINT | dal 16-05-2026 al 17-05-2026Cagliari (Cagliari) | Sardegna | Triathlon Kids		Giovanile
ADRIATIC SERIES TRIATHLON SPRINT SILVER GROTTAMMARE (AP) | 17-05-2026Grottammare (Ascoli Piceno) | Marche | Triathlon Sprint		Silver
VIII TRIATHLON LE BANDIE DEGLI EROI | 17-05-2026Spresiano (Treviso) | Veneto | Triathlon Sprint		Silver
FITCENTER TRIATHLON SPRINT BISCEGLIE 2026 | 17-05-2026Bisceglie (Barletta) | Puglia | Triathlon Sprint		Silver
6° TRIATHLON CITTA' DI GORIZIA | 24-05-2026Gorizia (Gorizia) | Friuli-Venezia Giulia | Triathlon Sprint		Silver
9° TRIATHLON SPRINT CITTA' DI SALO' | 24-05-2026Salò (Brescia) | Lombardia | Triathlon Sprint		Gold
13 TRIATHLON SPRINT PIASCO E GIOVANILI | 24-05-2026Piasco (Cuneo) | Piemonte | Triathlon Sprint		Silver
LYKOS FOR OTHERS | 30-05-2026Pisogne (Brescia) | Lombardia | Triathlon Super Sprint		Paratriathlon
LYKOS FOR OTHERS | 31-05-2026Pisogne (Brescia) | Lombardia | Aquathlon Atipico		Paratriathlon
2°TRIATHLON SPRINT PUSIANO LAKE | 31-05-2026Pusiano (Como) | Lombardia | Triathlon Sprint		Silver
TRANI TRIATHLON OLIMPICO 8^ EDIZIONE - CAMPIONATO ITALIANO INTERFORZE | 31-05-2026Trani (Barletta) | Puglia | Triathlon Olimpico		Silver
6° AQUATHLON DELLA VITTORINO - MEMORIAL AARON BERTONCINI | 02-06-2026Piacenza (Piacenza) | Emilia-Romagna | Aquathlon Kids		Giovanile
DIAMOND TRI & GRANDATRIATHLON 20°TRIATHLON SPRINT DEL ROERO | 02-06-2026Sommariva Perno (Cuneo) | Piemonte | Triathlon Sprint		BronzeGiovanile
IRONLAKE MUGELLO - CAMPIONATO ITALIANO TRIATHLON MEDIO | 02-06-2026Barberino di Mugello (Firenze) | Toscana | Triathlon Medio		Gold
CAMPIONATO ITALIANO AQUATHLON COPPA ITALIA E TROFEO SVILUPPO TRIATHLON | dal 06-06-2026 al 07-06-2026Porto Sant'Elpidio (Fermo) | Marche | Triathlon Minitriathlon		Giovanile
23° TRIATHLON OLIMPICO CITTÀ DI PIETRA LIGURE | 06-06-2026Pietra Ligure (Savona) | Liguria | Triathlon Olimpico		Silver
ADRIATIC SERIES TRIATHLON OLIMPICO CITTÀ DI VIESTE | 07-06-2026Vieste (Foggia) | Puglia | Triathlon Olimpico		Gold
IRONMAN 70.3 ALGHERO | 07-06-2026Alghero (Sassari) | Sardegna | Triathlon Medio		Internazionale
2° TRIATHLON CRONO TAVERNOLA | 13-06-2026Tavernola Bergamasca (Bergamo) | Lombardia | Triathlon Sprint		Silver
MANDELLO: TRIATHLON CROSS + AQUATHLON | 13-06-2026Mandello del Lario (Lecco) | Lombardia | Triathlon Sprint MTB		Bronze
AQUATHLON DEL CASTELLO | dal 14-06-2026 al 21-06-2026Santa Marinella (Roma) | Lazio | Aquathlon Kids		Giovanile
BIM TRIATHLON | 14-06-2026Bellaria-Igea Marina (Rimini) | Emilia-Romagna | Triathlon Olimpico		Gold  Paratriathlon
TRIATHLON SPRINT NETIUM | 14-06-2026Giovinazzo (Bari) | Puglia | Triathlon Sprint		Silver
TIVAN TRI TRIATHLON SPRINT | 14-06-2026Gravedona ed Uniti (Como) | Lombardia | Triathlon Sprint		Silver
TRIATHLON OLIMPICO LAGO DI VICO | 20-06-2026Ronciglione (Viterbo) | Lazio | Triathlon Olimpico		Silver
TRIATHLON SPRINT DI MAZARA DEL VALLO 1.0 | dal 20-06-2026 al 21-06-2026Mazara del Vallo (Trapani) | Sicilia | Triathlon Youth		Giovanile Paratriathlon
XTERRA EUROPEAN CHAMPIONSHIP | 20-06-2026Molveno (Trento) | Trentino-Alto Adige/Südtirol | Triathlon Atipico		Internazionale  Paratriathlon
17° TERRIBLE TRIATHLON IDROMAN | 21-06-2026Idro (Brescia) | Lombardia | Triathlon Medio		Silver
REVINE LAGO TRI | 21-06-2026Revine Lago (Treviso) | Veneto | Triathlon Minitriathlon		Giovanile
DUATHLON SPRINT - SPORT IN FESTA 2026 | 21-06-2026Cesate (Milano) | Lombardia | Duathlon Sprint		Silver
TRIATHLON MARCONI | 21-06-2026Sasso Marconi (Bologna) | Emilia-Romagna | Triathlon Olimpico		Silver
MILANO DEEJAY TRI | 21-06-2026Segrate (Milano) | Lombardia | Triathlon Youth		Giovanile
II° NEAPOLIS AQUATHLON | dal 27-06-2026 al 28-06-2026Napoli (Napoli) | Campania | Aquathlon Super Sprint
LOVERETRI - FOLLOWYOURPASSION | 28-06-2026Lovere (Bergamo) | Lombardia | Triathlon Medio		Gold
6° TRIATHLON SPRINT LAGO DI MIGNANO - MEMORIAL ALESSANDRO REPETTI | 28-06-2026Vernasca (Piacenza) | Emilia-Romagna | Triathlon		Silver
C.I. GIOVANI TRIATHLON IND/C.I. GIOVANI 2+2/COPPA REGIONI JR/YOUTH/ COPPA REGIONI RAGAZZI | dal 03-07-2026 al 05-07-2026Spresiano (Treviso) | Veneto | Triathlon Staffetta		Giovanile
